,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
254,7,31,1,0,1,0,0,0,0,0,2,6,1,8
255,7,23,1,1,0,0,0,0,0,0,1,3,5,12
256,7,19,1,1,0,0,0,0,0,0,3,6,2,17
257,1,31,2,0,0,1,0,0,0,0,1,5,1,19
258,7,33,1,1,0,0,0,0,0,0,3,5,1,7
259,5,31,2,0,0,0,0,0,1,0,5,6,2,27
260,6,31,1,0,0,1,0,0,0,0,5,6,1,8
261,6,32,1,1,0,0,0,0,0,0,2,4,2,24
262,6,23,1,0,0,0,1,0,0,0,4,5,2,8
263,5,35,2,0,0,0,0,0,1,0,3,6,2,27
264,7,31,4,0,0,1,0,0,0,0,5,5,2,8
265,7,33,2,0,0,0,0,1,0,0,3,5,1,7
266,5,30,1,0,0,0,0,1,0,0,1,5,1,27
267,7,25,2,1,0,0,0,0,0,0,2,5,1,24
268,7,30,1,0,0,0,0,0,1,0,5,5,2,27
269,4,28,1,0,0,0,0,1,0,0,5,5,2,14
270,5,32,2,0,0,0,1,0,0,0,2,5,2,19
271,7,33,2,0,0,0,0,1,0,0,3,5,2,8
272,6,32,2,0,1,0,0,0,0,0,3,5,1,24
273,6,23,1,0,1,0,0,0,0,0,1,5,1,14
274,3,31,1,0,0,0,0,0,1,0,5,5,1,27
275,6,32,1,0,0,0,0,1,0,0,3,6,2,8
276,5,34,2,0,0,1,0,0,0,0,1,6,1,7
277,7,32,3,0,0,0,0,1,0,0,5,5,1,9
278,6,26,1,0,0,0,1,0,0,0,2,6,2,8
279,7,36,5,0,0,1,0,0,0,0,5,5,2,27
280,7,27,1,0,1,0,0,0,0,0,2,5,1,11
281,5,25,1,0,0,1,0,0,0,0,4,4,2,3
282,6,26,5,0,0,1,0,0,0,0,5,4,2,8
283,3,42,5,0,0,0,0,1,0,0,1,4,1,5
284,7,32,1,0,0,0,1,0,0,0,3,4,1,12
285,7,32,3,1,0,0,0,0,0,0,5,5,1,8
286,7,35,1,0,0,0,0,1,0,0,5,5,1,13
287,7,30,2,0,0,0,1,0,0,0,1,5,2,24
288,4,34,2,0,0,0,1,0,0,0,3,6,1,14
289,6,28,1,0,1,0,0,0,0,0,1,6,1,24
290,7,32,1,0,0,0,0,1,0,0,1,6,2,7
291,6,29,1,0,0,1,0,0,0,0,5,5,1,20
292,7,27,1,0,0,0,1,0,0,0,3,6,1,8
293,5,32,3,0,0,0,0,1,0,0,2,3,2,18
294,7,28,1,0,0,0,0,1,0,0,4,4,1,2
295,4,36,2,0,0,1,0,0,0,0,3,5,2,14
296,6,29,2,0,1,0,0,0,0,0,3,5,2,5
297,6,34,3,0,0,1,0,0,0,0,2,5,2,5
298,4,36,1,0,0,1,0,0,0,0,1,6,2,17
299,5,27,1,0,0,0,0,1,0,0,5,5,2,8
300,7,35,2,1,0,0,0,0,0,0,2,4,1,24
301,5,32,1,0,0,1,0,0,0,0,1,4,2,18
302,4,39,1,0,0,0,0,1,0,0,3,4,1,18
303,6,32,2,0,0,1,0,0,0,0,5,6,1,8
304,5,30,4,0,1,0,0,0,0,0,3,6,2,27
305,7,35,1,0,0,0,1,0,0,0,3,5,1,8
306,7,31,5,0,0,0,0,1,0,0,5,4,1,27
307,7,29,2,0,0,0,0,1,0,0,1,4,1,8
308,5,36,5,0,0,0,0,0,1,0,5,4,1,27
309,5,31,1,0,1,0,0,0,0,0,3,5,1,27
310,6,33,1,0,0,0,0,0,1,0,3,5,2,27
311,7,36,1,0,0,0,0,0,1,0,2,5,2,2
312,0,26,3,1,0,0,0,0,0,0,1,5,1,24
313,6,30,1,1,0,0,0,0,0,0,1,5,2,1
314,7,30,2,0,0,0,0,1,0,0,5,4,2,11
315,7,32,5,0,0,0,0,0,1,0,3,4,2,27
316,4,32,1,0,0,1,0,0,0,0,3,4,1,27
317,5,33,1,0,1,0,0,0,0,0,4,4,5,14
318,5,30,1,0,1,0,0,0,0,0,1,6,1,17
319,3,33,2,0,1,0,0,0,0,0,1,5,1,4
320,4,28,2,1,0,0,0,0,0,0,2,3,1,2
321,7,25,1,0,0,0,0,1,0,0,3,6,2,22
322,6,30,1,0,0,0,0,0,0,1,3,5,2,8
323,7,27,2,0,0,0,0,1,0,0,3,5,1,13
324,7,28,1,0,1,0,0,0,0,0,2,4,2,27
325,6,33,1,0,0,0,1,0,0,0,2,6,1,8
326,6,28,1,0,0,0,0,1,0,0,4,6,1,27
327,5,30,1,0,0,1,0,0,0,0,2,4,2,22
328,5,37,1,0,0,1,0,0,0,0,5,5,1,27
329,5,26,1,0,0,0,0,1,0,0,3,6,1,8
330,5,24,1,0,0,0,1,0,0,0,3,6,2,8
331,4,31,2,0,0,0,0,1,0,0,2,5,2,7
332,5,34,1,0,0,1,0,0,0,0,2,4,2,27
333,7,30,3,0,0,0,0,1,0,0,5,6,2,8
334,5,38,2,0,0,1,0,0,0,0,3,3,2,27
335,7,31,1,0,0,1,0,0,0,0,2,5,1,12
336,5,28,4,0,0,0,1,0,0,0,1,5,2,11
337,5,35,2,0,0,0,0,0,0,1,4,6,1,27
338,6,27,1,0,0,1,0,0,0,0,3,6,1,8
339,2,31,3,0,1,0,0,0,0,0,2,5,1,7
340,2,36,1,0,0,0,0,1,0,0,1,6,2,6
341,6,33,2,0,0,0,1,0,0,0,3,5,1,7
342,6,30,1,0,0,0,1,0,0,0,4,5,5,7
343,6,26,4,0,0,0,0,1,0,0,5,6,2,8
344,6,35,1,0,0,0,1,0,0,0,3,6,1,13
345,5,32,1,0,0,0,1,0,0,0,2,6,2,27
346,7,22,1,0,0,0,0,1,0,0,1,6,2,6
347,7,36,1,0,0,0,0,1,0,0,1,3,2,6
348,6,31,1,0,0,1,0,0,0,0,2,4,2,5
349,3,41,2,0,0,1,0,0,0,0,1,5,1,13
350,6,30,2,0,0,0,1,0,0,0,3,5,1,7
351,5,38,2,1,0,0,0,0,0,0,1,6,1,24
352,4,33,5,0,0,0,1,0,0,0,5,5,1,9
353,7,29,1,0,0,0,0,1,0,0,5,5,2,4
354,7,31,1,0,0,1,0,0,0,0,1,6,2,27
355,6,34,2,0,0,0,0,0,1,0,4,4,1,27
356,6,38,4,0,0,0,0,0,1,0,5,6,2,27
357,7,31,3,0,0,0,0,0,1,0,5,4,2,27
358,5,33,1,0,1,0,0,0,0,0,1,5,2,13
359,5,32,2,0,0,0,0,1,0,0,5,6,1,7
360,7,36,1,0,0,0,1,0,0,0,4,5,2,13
361,7,32,1,0,1,0,0,0,0,0,2,5,1,24
362,4,41,4,0,0,0,0,1,0,0,2,6,1,23
363,7,35,1,0,0,0,0,1,0,0,2,6,1,27
364,7,29,1,0,1,0,0,0,0,0,1,6,3,8
365,5,34,2,0,1,0,0,0,0,0,2,5,1,27
366,7,30,1,0,0,0,0,1,0,0,2,5,3,13
367,6,37,1,0,0,0,1,0,0,0,2,4,2,25
368,3,40,4,0,0,0,0,1,0,0,4,5,1,27
369,3,28,1,1,0,0,0,0,0,0,1,6,2,24
370,6,36,1,0,1,0,0,0,0,0,2,6,1,2
371,7,36,1,0,1,0,0,0,0,0,2,6,3,2
372,5,31,2,0,0,0,0,1,1,0,3,5,1,8
373,4,30,1,0,0,0,0,1,0,0,4,6,2,8
374,7,27,3,0,1,0,0,0,0,0,4,6,2,17
375,5,32,2,0,1,0,0,0,0,0,1,5,1,7
376,7,25,1,1,0,0,0,0,0,0,1,5,1,24
377,3,39,1,0,1,0,0,0,0,0,2,6,1,23
378,4,28,1,0,0,0,0,0,0,1,1,5,1,27
379,5,36,1,0,1,0,0,0,0,0,1,6,2,27
380,0,36,3,1,0,0,0,0,0,0,1,6,1,24
381,6,31,2,0,0,0,0,1,0,0,2,3,1,12
382,7,26,2,1,0,0,0,0,0,0,5,6,1,24
383,4,33,1,0,0,0,0,0,1,0,3,6,1,8
384,3,31,2,0,0,0,0,1,0,0,5,5,2,1
385,7,34,1,0,0,0,0,0,1,0,2,4,1,7
386,6,30,1,0,0,0,1,0,0,0,3,5,1,7
387,7,29,4,0,0,0,0,0,1,0,3,4,1,27
