,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
287,11,11,12,18,7,46,4,0,0,0,1,0,0,0,1,5,2,24
288,8,11,10,17,4,40,4,0,0,0,1,0,0,0,3,6,1,14
289,11,11,12,17,6,44,5,0,1,0,0,0,0,0,1,6,1,24
290,14,12,12,21,7,50,5,0,0,0,0,1,0,0,1,6,2,7
291,14,11,14,19,6,49,5,0,0,1,0,0,0,0,5,5,1,20
292,13,14,13,19,7,51,5,0,0,0,1,0,0,0,3,6,1,8
293,11,8,9,13,5,34,3,0,0,0,0,1,0,0,2,3,2,18
294,14,14,15,17,7,50,5,0,0,0,0,1,0,0,4,4,1,2
295,12,11,11,18,4,44,4,0,0,1,0,0,0,0,3,5,2,14
296,12,13,11,20,6,49,4,0,1,0,0,0,0,0,3,5,2,5
297,11,11,14,19,6,48,3,0,0,1,0,0,0,0,2,5,2,5
298,14,12,13,19,4,48,5,0,0,1,0,0,0,0,1,6,2,17
299,14,14,14,18,5,51,5,0,0,0,0,1,0,0,5,5,2,8
300,12,12,12,19,7,47,4,1,0,0,0,0,0,0,2,4,1,24
301,15,14,15,22,5,56,5,0,0,1,0,0,0,0,1,4,2,18
302,14,10,13,18,4,45,5,0,0,0,0,1,0,0,3,4,1,18
303,11,11,11,16,6,42,4,0,0,1,0,0,0,0,5,6,1,8
305,14,13,14,21,7,53,5,0,0,0,1,0,0,0,3,5,1,8
307,11,12,10,17,7,43,4,0,0,0,0,1,0,0,1,4,1,8
309,15,14,15,21,5,55,5,0,1,0,0,0,0,0,3,5,1,27
310,12,13,13,20,6,49,5,0,0,0,0,0,1,0,3,5,2,27
311,15,15,15,25,7,60,5,0,0,0,0,0,1,0,2,5,2,2
313,15,15,15,19,6,54,5,1,0,0,0,0,0,0,1,5,2,1
314,8,10,8,12,7,32,4,0,0,0,0,1,0,0,5,4,2,11
316,15,14,15,22,4,56,5,0,0,1,0,0,0,0,3,4,1,27
317,14,11,14,21,5,51,5,0,1,0,0,0,0,0,4,4,5,14
318,13,13,13,21,5,52,5,0,1,0,0,0,0,0,1,6,1,17
319,11,11,11,14,3,39,4,0,1,0,0,0,0,0,1,5,1,4
320,12,12,11,13,4,40,4,1,0,0,0,0,0,0,2,3,1,2
321,14,13,13,16,7,47,5,0,0,0,0,1,0,0,3,6,2,22
322,13,11,13,18,6,46,5,0,0,0,0,0,0,1,3,5,2,8
323,11,13,13,15,7,45,4,0,0,0,0,1,0,0,3,5,1,13
324,14,14,12,17,7,48,5,0,1,0,0,0,0,0,2,4,2,27
325,13,10,14,21,6,49,5,0,0,0,1,0,0,0,2,6,1,8
326,13,12,14,18,6,48,5,0,0,0,0,1,0,0,4,6,1,27
327,15,14,14,19,5,52,5,0,0,1,0,0,0,0,2,4,2,22
328,14,15,15,25,5,59,5,0,0,1,0,0,0,0,5,5,1,27
329,13,11,13,17,5,46,5,0,0,0,0,1,0,0,3,6,1,8
330,12,13,12,18,5,48,5,0,0,0,1,0,0,0,3,6,2,8
331,11,10,14,14,4,41,4,0,0,0,0,1,0,0,2,5,2,7
332,15,12,15,22,5,54,5,0,0,1,0,0,0,0,2,4,2,27
333,11,9,11,14,7,38,3,0,0,0,0,1,0,0,5,6,2,8
334,14,11,15,23,5,54,4,0,0,1,0,0,0,0,3,3,2,27
335,13,13,14,17,7,47,5,0,0,1,0,0,0,0,2,5,1,12
337,12,9,11,15,5,39,4,0,0,0,0,0,0,1,4,6,1,27
338,13,14,13,17,6,49,5,0,0,1,0,0,0,0,3,6,1,8
341,11,10,12,19,6,45,4,0,0,0,1,0,0,0,3,5,1,7
342,11,13,13,21,6,50,5,0,0,0,1,0,0,0,4,5,5,7
343,8,8,8,9,6,30,2,0,0,0,0,1,0,0,5,6,2,8
344,13,11,13,19,6,47,5,0,0,0,1,0,0,0,3,6,1,13
345,14,12,14,21,5,52,5,0,0,0,1,0,0,0,2,6,2,27
346,13,12,13,14,7,44,5,0,0,0,0,1,0,0,1,6,2,6
347,15,15,15,25,7,60,5,0,0,0,0,1,0,0,1,3,2,6
348,14,11,13,20,6,49,5,0,0,1,0,0,0,0,2,4,2,5
349,14,13,10,17,3,45,4,0,0,1,0,0,0,0,1,5,1,13
350,12,13,14,17,6,48,4,0,0,0,1,0,0,0,3,5,1,7
351,13,12,13,19,5,48,4,1,0,0,0,0,0,0,1,6,1,24
353,13,11,12,19,7,47,5,0,0,0,0,1,0,0,5,5,2,4
354,13,12,14,19,7,49,5,0,0,1,0,0,0,0,1,6,2,27
355,12,11,12,19,6,46,4,0,0,0,0,0,1,0,4,4,1,27
357,8,9,7,12,7,31,3,0,0,0,0,0,1,0,5,4,2,27
358,12,13,14,21,5,51,5,0,1,0,0,0,0,0,1,5,2,13
359,13,10,11,18,5,44,4,0,0,0,0,1,0,0,5,6,1,7
360,15,15,15,25,7,60,5,0,0,0,1,0,0,0,4,5,2,13
361,14,15,14,22,7,56,5,0,1,0,0,0,0,0,2,5,1,24
362,11,8,7,12,4,31,2,0,0,0,0,1,0,0,2,6,1,23
363,15,15,15,24,7,59,5,0,0,0,0,1,0,0,2,6,1,27
364,15,12,15,17,7,49,5,0,1,0,0,0,0,0,1,6,3,8
365,13,9,12,20,5,46,4,0,1,0,0,0,0,0,2,5,1,27
366,11,14,12,20,7,50,5,0,0,0,0,1,0,0,2,5,3,13
367,15,12,15,23,6,55,5,0,0,0,1,0,0,0,2,4,2,25
368,8,7,8,16,3,34,2,0,0,0,0,1,0,0,4,5,1,27
369,13,12,7,12,3,36,5,1,0,0,0,0,0,0,1,6,2,24
370,15,14,15,24,6,58,5,0,1,0,0,0,0,0,2,6,1,2
371,13,12,12,20,7,48,5,0,1,0,0,0,0,0,2,6,3,2
372,11,11,10,16,5,41,4,0,0,0,0,1,1,0,3,5,1,8
373,14,11,12,18,4,46,5,0,0,0,0,1,0,0,4,6,2,8
374,8,9,10,13,7,35,3,0,1,0,0,0,0,0,4,6,2,17
375,7,10,9,15,5,36,4,0,1,0,0,0,0,0,1,5,1,7
376,14,11,14,17,7,47,5,1,0,0,0,0,0,0,1,5,1,24
377,15,9,15,22,3,51,5,0,1,0,0,0,0,0,2,6,1,23
378,14,13,14,20,4,52,5,0,0,0,0,0,0,1,1,5,1,27
379,15,15,15,25,5,60,5,0,1,0,0,0,0,0,1,6,2,27
381,11,12,13,17,6,45,4,0,0,0,0,1,0,0,2,3,1,12
382,9,10,10,13,7,36,4,1,0,0,0,0,0,0,5,6,1,24
383,14,12,13,21,4,51,5,0,0,0,0,0,1,0,3,6,1,8
384,11,10,10,15,3,39,4,0,0,0,0,1,0,0,5,5,2,1
385,13,11,15,19,7,48,5,0,0,0,0,0,1,0,2,4,1,7
386,13,14,14,18,6,50,5,0,0,0,1,0,0,0,3,5,1,7
387,9,8,11,13,7,37,2,0,0,0,0,0,1,0,3,4,1,27
