,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
276,4,34,2,0,0,1,0,0,0,0,1,6,1,7
277,6,32,3,0,0,0,0,1,0,0,5,5,1,9
278,5,26,1,0,0,0,1,0,0,0,2,6,2,8
279,6,36,5,0,0,1,0,0,0,0,5,5,2,27
280,6,27,1,0,1,0,0,0,0,0,2,5,1,11
281,4,25,1,0,0,1,0,0,0,0,4,4,2,3
282,5,26,5,0,0,1,0,0,0,0,5,4,2,8
283,3,42,5,0,0,0,0,1,0,0,1,4,1,5
284,6,32,1,0,0,0,1,0,0,0,3,4,1,12
285,6,32,3,1,0,0,0,0,0,0,5,5,1,8
286,6,35,1,0,0,0,0,1,0,0,5,5,1,13
287,6,30,2,0,0,0,1,0,0,0,1,5,2,24
288,3,34,2,0,0,0,1,0,0,0,3,6,1,14
289,5,28,1,0,1,0,0,0,0,0,1,6,1,24
290,6,32,1,0,0,0,0,1,0,0,1,6,2,7
291,5,29,1,0,0,1,0,0,0,0,5,5,1,20
292,6,27,1,0,0,0,1,0,0,0,3,6,1,8
293,5,32,3,0,0,0,0,1,0,0,2,3,2,18
294,6,28,1,0,0,0,0,1,0,0,4,4,1,2
295,3,36,2,0,0,1,0,0,0,0,3,5,2,14
296,5,29,2,0,1,0,0,0,0,0,3,5,2,5
297,5,34,3,0,0,1,0,0,0,0,2,5,2,5
298,3,36,1,0,0,1,0,0,0,0,1,6,2,17
299,4,27,1,0,0,0,0,1,0,0,5,5,2,8
300,6,35,2,1,0,0,0,0,0,0,2,4,1,24
301,4,32,1,0,0,1,0,0,0,0,1,4,2,18
302,4,39,1,0,0,0,0,1,0,0,3,4,1,18
303,5,32,2,0,0,1,0,0,0,0,5,6,1,8
304,4,30,4,0,1,0,0,0,0,0,3,6,2,27
305,6,35,1,0,0,0,1,0,0,0,3,5,1,8
306,6,31,5,0,0,0,0,1,0,0,5,4,1,27
307,6,29,2,0,0,0,0,1,0,0,1,4,1,8
308,4,36,5,0,0,0,0,0,1,0,5,4,1,27
309,5,31,1,0,1,0,0,0,0,0,3,5,1,27
310,5,33,1,0,0,0,0,0,1,0,3,5,2,27
311,6,36,1,0,0,0,0,0,1,0,2,5,2,2
312,0,26,3,1,0,0,0,0,0,0,1,5,1,24
313,5,30,1,1,0,0,0,0,0,0,1,5,2,1
314,6,30,2,0,0,0,0,1,0,0,5,4,2,11
315,6,32,5,0,0,0,0,0,1,0,3,4,2,27
316,3,32,1,0,0,1,0,0,0,0,3,4,1,27
